age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Female / নারী,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,সামান্য/নেই,সামান্য/নেই,মাঝারি,মাঝারি,বেশি,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,No / না,3.50–4.00,3.50–4.00,75%–89%,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
18–25,Male / পুরুষ,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,বেশি,মাঝারি,বেশি,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Agree / সম্মত,Agree / সম্মত,Disagree / অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,No / না,High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Definitely discontinue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,বেশি,সামান্য/নেই,মাঝারি,বেশি,বেশি,মাঝারি,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Neutral / নিরপেক্ষ,No / না,3.00–3.49,3.00–3.49,75%–89%,2–4 hours / ২–৪ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Not sure
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,বেশি,মাঝারি,মাঝারি,বেশি,বেশি,বেশি,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Agree / সম্মত,Agree / সম্মত,Agree / সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",2.50–2.99,2.50–2.99,75%–89%,1–2 hours / ১–২ ঘণ্টা,Yes,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely continue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,বেশি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,High / বেশি,4–6 hours / ৪–৬ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,"Yes, seriously / হ্যাঁ, সিরিয়াসলি",3.00–3.49,3.00–3.49,75%–89%,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Probably discontinue
18–25,Female / নারী,5th semester / 3rd year / ৫ম সেমিস্টার / ৩য় বর্ষ,মাঝারি,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,বেশি,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Neutral / নিরপেক্ষ,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,বেশি,বেশি,বেশি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Strongly agree / সম্পূর্ণ সম্মত,No / না,2.00–2.49,2.00–2.49,65%–74%,Less than 1 hour / ১ ঘণ্টার কম,Yes,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Very high pressure / খুব বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
18–25,Female / নারী,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,মাঝারি,বেশি,বেশি,বেশি,বেশি,Very high / খুব বেশি,2–4 hours / ২–৪ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Disagree / অসম্মত,Strongly agree / সম্পূর্ণ সম্মত,No / না,2.50–2.99,2.50–2.99,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,"Yes, significantly / হ্যাঁ, অনেক কমেছে",High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely continue
18–25,Female / নারী,3rd semester / 2nd year / ৩য় সেমিস্টার / ২য় বর্ষ,মাঝারি,মাঝারি,মাঝারি,বেশি,বেশি,সামান্য/নেই,Moderate / মাঝারি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,No / না,3.00–3.49,3.00–3.49,50%–64%,1–2 hours / ১–২ ঘণ্টা,No,Not sure / নিশ্চিত নই,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably discontinue
18–25,Male / পুরুষ,6th semester / ৬ষ্ঠ সেমিস্টার,বেশি,মাঝারি,সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,High / বেশি,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Definitely discontinue
